date,Open,High,Low,Close,Volume,returns,states,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3
2007-05-08 00:00:00,106.0007217143497,106.24006197705654,105.68394657354152,106.12039184570312,80584000,-0.0013260636126520026,2,3.413410757893103e-265,2.2803576279943314e-268,0.9999991218593811,8.781406188339833e-07
2007-05-09 00:00:00,106.04296268659252,107.57757833315897,105.85289329529004,106.40901947021484,102070100,0.0027161210315878826,2,0.0004353268232642132,3.8507139743839866e-07,0.9957731672695164,0.0037911208358220034
2007-05-10 00:00:00,106.10632888636226,106.31048030226862,105.0785684014232,105.29679107666016,153617800,-0.010507398201929764,2,0.0010709292416713819,1.0345817327313295e-06,0.9931914395395078,0.005736596637088108
2007-05-11 00:00:00,105.41648363149467,106.24713924813426,105.39536599659175,106.19786834716797,113408900,0.008521091976033457,2,0.0011564749017930324,6.878026170942769e-07,0.9876604290514154,0.011182408244174566
2007-05-14 00:00:00,106.19781975578037,106.50755924786252,105.44458865081542,105.96551513671875,108027500,-0.0021903242635657487,2,0.001122847186368197,4.0408948075408154e-07,0.9805473495455799,0.01832939917857111
2007-05-15 00:00:00,106.08523480933803,106.76103135692603,105.72622427115107,105.99372863769531,180673300,0.0002662162842326639,2,0.0010674298469755769,3.2291641079457433e-07,0.9744757478838474,0.024456499352766302
2007-05-16 00:00:00,106.15559583291663,106.7398752568884,105.85993830658474,106.71875762939453,114166500,0.006817012129334092,2,0.001231764187825282,5.108664947351019e-07,0.971106295678675,0.02766142926700499
2007-05-17 00:00:00,106.56393141254495,106.97222361329834,106.37386194601339,106.50761413574219,101132800,-0.0019804638696175295,2,0.0013887430770759238,5.283506672762277e-07,0.9675971818255588,0.031013546746698054
2007-05-18 00:00:00,107.00738835576522,107.43679809570311,106.86660056625209,107.43679809570312,99182000,0.008686273154882934,2,0.001566625040560117,6.647200252799434e-07,0.9651041833005428,0.033328526938871714
2007-05-21 00:00:00,107.40867243284276,107.86623555168543,107.35235515428292,107.38050842285156,174664600,-0.0005240701976218392,2,0.001623405701940933,4.6900249171231227e-07,0.9610955284216397,0.037280596873927534
2007-05-22 00:00:00,107.49313322356532,107.81695486053772,107.26787487119368,107.29602813720703,82148800,-0.0007870472605821309,2,0.0018344008616403037,5.552865370476952e-07,0.959163926557606,0.03900111729421667
2007-05-23 00:00:00,107.66910723002542,108.05628172324617,107.2537794743069,107.31009674072266,133786600,0.00013111092280140998,2,0.0022217022772936684,8.724005092574773e-07,0.9589723259276137,0.0388050993945833
2007-05-24 00:00:00,107.37342209693207,107.85211336797528,106.11335715101468,106.33861541748047,187593000,-0.009094255790162358,2,0.0031377921999446675,2.1270380776747796e-06,0.9609476565941466,0.03591242416783103
2007-05-25 00:00:00,106.64839808368363,107.01445499889572,106.42312898465408,106.78215026855469,83309200,0.004162292585501024,2,0.003347985915083685,1.651745515603335e-06,0.9594555027363725,0.03719485960302816
2007-05-29 00:00:00,106.95812445465315,107.35233458762633,106.61318521759135,107.1693115234375,82020000,0.0036191543094443866,2,0.004041795454578248,1.9537638985279607e-06,0.9592720772808228,0.03668417350070042
2007-05-30 00:00:00,106.6202275047502,108.08443344500705,106.53574623562069,108.04219818115234,129013600,0.008111940160600049,2,0.005550666311475362,3.2668505332747716e-06,0.9605809005139484,0.03386516632404287
2007-05-31 00:00:00,108.17593371537892,108.33080348665281,107.7887592871942,107.92955780029297,114866700,-0.0010431029794690575,2,0.00719472315892954,3.307099955185864e-06,0.9606705270888951,0.03213144265222005
2007-06-01 00:00:00,108.32378892213359,108.68983505139981,108.06332021538505,108.4645767211914,107771700,0.004944866109776829,2,0.009764768842686008,5.415965422899684e-06,0.9617189555912663,0.028510859600624768
2007-06-04 00:00:00,108.08443209971749,108.68279364066512,108.04219683638848,108.47865295410156,78008800,0.0001297688151040269,2,0.01400097408897137,8.984343857513424e-06,0.962722862612764,0.023267178954407063
2007-06-05 00:00:00,108.22519696479597,108.33782071816375,107.60571798489832,108.04920959472656,126917900,-0.003966638911034838,2,0.022440421634249384,2.7550356392374565e-05,0.9639123305862264,0.013619697423131929
2007-06-06 00:00:00,107.60575757171289,107.66911047030463,106.82437293148638,106.88772583007812,164096800,-0.010807775482746623,2,0.03180558020533742,5.6116353189946124e-05,0.9635018368506407,0.0046364665908319455
2007-06-07 00:00:00,106.69059512003051,107.35230943451604,104.93072119487451,104.9588851928711,232414600,-0.018210288380275066,2,0.036622614480600495,6.380077465788472e-05,0.961797228610614,0.0015163561341277447
2007-06-08 00:00:00,105.29679393056449,106.43015333971697,104.95185472206776,106.32455444335938,175886000,0.012927546732235487,2,0.03610609304752076,4.1924338166834596e-05,0.9622858920277616,0.0015660905865508058
2007-06-11 00:00:00,106.2471453878516,106.96517724030909,106.08523993043255,106.50761413574219,102015600,0.0017202262115461862,2,0.03451209232250488,2.4298642624959848e-05,0.963209966777297,0.002253642257573127
2007-06-12 00:00:00,106.0641010445385,106.67653385225755,105.27568081010295,105.3460693359375,233898000,-0.010965647799475663,2,0.03564387730607066,2.5422084678053074e-05,0.9626753162222677,0.00165538438698362
2007-06-13 00:00:00,105.9443852096333,107.04959092882916,105.39530553430525,106.9228744506836,193208200,0.014856946007973198,2,0.03478338682535635,2.0972351925338316e-05,0.9632658908038279,0.0019297500188904478
2007-06-14 00:00:00,107.04256636371194,107.78875116466476,107.02144873662216,107.60572814941406,146396500,0.006366106865362866,2,0.03214088205866599,1.263248076340932e-05,0.964312800644804,0.0035336848157667493
2007-06-15 00:00:00,108.26750083548814,108.63513543929842,108.119029487965,108.218017578125,154030800,0.005673991703978642,2,0.030739544710862585,8.955851844380683e-06,0.9644743839482383,0.004777115489054709
2007-06-18 00:00:00,108.43722351307198,108.44428947041435,107.92819410367328,108.0907974243164,88537500,-0.0011762827925073643,2,0.030644550600388735,7.496799822921025e-06,0.963900034367247,0.005447918232541297
2007-06-19 00:00:00,107.85036115272678,108.43715889409621,107.71603252922219,108.35939025878906,110851700,0.0024817993942190227,2,0.031798960304876854,1.0569751198606184e-05,0.9630270469740341,0.005163422969890379
2007-06-20 00:00:00,108.5785653257619,108.5785653257619,106.72627135784245,106.85352325439453,177119700,-0.013994435148061193,2,0.035908461573573164,2.389834079172377e-05,0.9609230500825976,0.003144590003037406
